"filename", "language", "Markdown", "JavaScript", "JavaScript JSX", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Williams\Desktop\SciFolio\PrivateRoute.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Williams\Desktop\SciFolio\README.md", "Markdown", 5, 0, 0, 0, 0, 0, 0, 0, 4, 9
"c:\Users\Williams\Desktop\SciFolio\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Williams\Desktop\SciFolio\index.html", "HTML", 0, 0, 0, 30, 0, 0, 0, 0, 8, 38
"c:\Users\Williams\Desktop\SciFolio\package-lock.json", "JSON", 0, 0, 0, 0, 19986, 0, 0, 0, 1, 19987
"c:\Users\Williams\Desktop\SciFolio\package.json", "JSON", 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"c:\Users\Williams\Desktop\SciFolio\public\Logo.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 2, 27
"c:\Users\Williams\Desktop\SciFolio\src\App.css", "CSS", 0, 0, 0, 0, 0, 313, 0, 4, 94, 411
"c:\Users\Williams\Desktop\SciFolio\src\App.jsx", "JavaScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 12, 59
"c:\Users\Williams\Desktop\SciFolio\src\assets\animations\loading.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Williams\Desktop\SciFolio\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Williams\Desktop\SciFolio\src\components\Home\Home.jsx", "JavaScript JSX", 0, 0, 124, 0, 0, 0, 0, 1, 16, 141
"c:\Users\Williams\Desktop\SciFolio\src\components\Login\ContentLogin.jsx", "JavaScript JSX", 0, 0, 123, 0, 0, 0, 0, 0, 15, 138
"c:\Users\Williams\Desktop\SciFolio\src\components\Login\ContentSignUp.jsx", "JavaScript JSX", 0, 0, 148, 0, 0, 0, 0, 0, 27, 175
"c:\Users\Williams\Desktop\SciFolio\src\components\Login\Login.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"c:\Users\Williams\Desktop\SciFolio\src\components\Login\ModalRecoveryPassword.jsx", "JavaScript JSX", 0, 0, 106, 0, 0, 0, 0, 4, 22, 132
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentAbout\ContentAbout.jsx", "JavaScript JSX", 0, 0, 141, 0, 0, 0, 0, 2, 19, 162
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentAbout\ModalEditAbout.jsx", "JavaScript JSX", 0, 0, 244, 0, 0, 0, 0, 7, 30, 281
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentAbout\Modals\ModalHobbies.jsx", "JavaScript JSX", 0, 0, 140, 0, 0, 0, 0, 0, 15, 155
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentAbout\Modals\ModalResume.jsx", "JavaScript JSX", 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentBlog\ContentBlog.jsx", "JavaScript JSX", 0, 0, 63, 0, 0, 0, 0, 0, 3, 66
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentContact\ContentContact.jsx", "JavaScript JSX", 0, 0, 93, 0, 0, 0, 0, 0, 13, 106
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentContact\ModalEditContact.jsx", "JavaScript JSX", 0, 0, 28, 0, 0, 0, 0, 0, 8, 36
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentPortfolio\ContentPortfolio.jsx", "JavaScript JSX", 0, 0, 237, 0, 0, 0, 0, 1, 15, 253
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentPortfolio\ModalEditPortfolio.jsx", "JavaScript JSX", 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentResume\ContentResume.jsx", "JavaScript JSX", 0, 0, 67, 0, 0, 0, 0, 0, 8, 75
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\ContentResume\ModalEditResume.jsx", "JavaScript JSX", 0, 0, 262, 0, 0, 0, 0, 0, 31, 293
"c:\Users\Williams\Desktop\SciFolio\src\components\Portfolio\Portfolio.jsx", "JavaScript JSX", 0, 0, 61, 0, 0, 0, 0, 0, 9, 70
"c:\Users\Williams\Desktop\SciFolio\src\components\Register\App.module.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 0, 5, 53
"c:\Users\Williams\Desktop\SciFolio\src\components\Register\ProfileInformation.jsx", "JavaScript JSX", 0, 0, 153, 0, 0, 0, 0, 0, 19, 172
"c:\Users\Williams\Desktop\SciFolio\src\components\Register\Register.jsx", "JavaScript JSX", 0, 0, 126, 0, 0, 0, 0, 0, 18, 144
"c:\Users\Williams\Desktop\SciFolio\src\components\Register\SocialMediaInformation.jsx", "JavaScript JSX", 0, 0, 166, 0, 0, 0, 0, 0, 22, 188
"c:\Users\Williams\Desktop\SciFolio\src\components\Sidebar\Sidebar.jsx", "JavaScript JSX", 0, 0, 117, 0, 0, 0, 0, 0, 9, 126
"c:\Users\Williams\Desktop\SciFolio\src\index.css", "CSS", 0, 0, 0, 0, 0, 82, 0, 1, 23, 106
"c:\Users\Williams\Desktop\SciFolio\src\main.jsx", "JavaScript JSX", 0, 0, 7, 0, 0, 0, 0, 1, 3, 11
"c:\Users\Williams\Desktop\SciFolio\src\settings\utilities\CacheLocalStorage.jsx", "JavaScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\Williams\Desktop\SciFolio\vite.config.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 1, 2, 11
"Total", "-", 5, 45, 2645, 30, 20035, 443, 26, 22, 485, 23736
